Mon Jan 30 7:16:34 BOT 2012: Busqueda Inteligente: resultados >104111
Mon Jan 30 9:42:56 BOT 2012: Busqueda Inteligente: Resultado 
 133883;Bleeding Heart;Jimi Hendrix;Wisin y Yandel Regalo 2x1
104173; Viva viva Bolivia;Banda Poopo;Carnaval
104179; Voy Por Un Besito;Pan de Arroz;Carnaval
102621; Wake Up Call;Mar 
Mon Jan 30 16:03:56 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.0051880000000001 seg.
Mon Jan 30 16:05:20 BOT 2012: Ajax-> Mostrar Megusta> tono:133454 
Mon Jan 30 16:05:44 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 16:05:44 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.084847 seg.
Mon Jan 30 16:05:47 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.078551 seg.
Mon Jan 30 16:05:47 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.080143 seg.
Mon Jan 30 16:05:50 BOT 2012: Busqueda Inteligente: resultados >
Mon Jan 30 16:05:50 BOT 2012: Ajax-> Mostrar  Imagen Portada> tono:102788 
Mon Jan 30 16:05:50 BOT 2012: Ajax->Mostrar Imagen Portada:  
Mon Jan 30 16:05:50 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 16:05:50 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:133859 
Mon Jan 30 16:06:26 BOT 2012: Ajax-> Mostrar Ranking > tono:103499 
Mon Jan 30 16:08:54 BOT 2012: Ajax-> Mostrar Megusta> tono:123718 
Mon Jan 30 16:09:41 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.182573 seg.
Mon Jan 30 16:09:45 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 16:10:06 BOT 2012: Ajax->Mostrar Imagen Portada:  
Mon Jan 30 16:10:08 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:104219 
Mon Jan 30 16:10:23 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 16:10:32 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.001517 seg.
Mon Jan 30 16:11:50 BOT 2012: MTD_DB_BUSCAR_ARTISTAS > retornando registros:9
Mon Jan 30 16:12:44 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 16:14:24 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:317 
Mon Jan 30 16:15:54 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 16:16:21 BOT 2012: Busqueda Inteligente: resultados >113598
Mon Jan 30 16:16:36 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 16:19:42 BOT 2012: Mostrar Ranking: tono:130814 calificacion: 5
Mon Jan 30 16:19:54 BOT 2012: Asignar backtone escuchado > Asi termino:134178,125510,128612,128235,128237,125491,103282,104749,123718,370,109208,
Mon Jan 30 16:20:52 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 16:23:25 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.41676 seg.
Mon Jan 30 16:23:37 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 16:23:43 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 16:24:04 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 16:25:40 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:105036 
Mon Jan 30 16:26:01 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 16:26:34 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.005914 seg.
Mon Jan 30 16:26:37 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.010287 seg.
Mon Jan 30 16:26:37 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.917143 seg.
Mon Jan 30 16:26:50 BOT 2012: Ajax-> Mostrar  Genero > G&eacute;nero:  <a href='index.php?seccion=playlist&genero=155'>Romanticas</a>
Mon Jan 30 16:32:08 BOT 2012: Ajax->Mostrar Imagen Portada:  
Mon Jan 30 16:33:08 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 17:17:16 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.010768 seg.
Mon Jan 30 18:46:27 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 18:47:33 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:626 
Mon Jan 30 18:48:57 BOT 2012: Asignar backtone escuchado > Asi termino:109249,109320,109247,109318,109317,246,109246,109238,109245,109243,449,109242,135727,104279,448,109314,102650,102693,103342,109240,
Mon Jan 30 18:49:27 BOT 2012: Ajax-> Mostrar Comentarios> tono:104278 
Mon Jan 30 18:49:45 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 19:02:09 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.162625 seg.
Mon Jan 30 19:02:09 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 19:03:24 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:141114 
Mon Jan 30 19:07:04 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 19:07:55 BOT 2012: Ajax-> Mostrar Ranking > tono:107749 
Mon Jan 30 19:08:10 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.151415 seg.
Mon Jan 30 19:08:52 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.0054740000000001 seg.
Mon Jan 30 19:09:58 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 19:10:01 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 19:14:35 BOT 2012: Asignar backtone escuchado > Asi termino:137253,133736,104278,109249,109242,240,105040,109227,102983,141922,102979,112462,102741,131642,130832,104419,104368,102825,102824,
Mon Jan 30 19:14:35 BOT 2012: Ajax->Actualizar pin usuario
Mon Jan 30 19:15:50 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 19:17:56 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.011594 seg.
Mon Jan 30 19:20:57 BOT 2012: WEB_REPRODUCIR_BUSQUEDA > Se recibieron:25 tonos
Mon Jan 30 19:22:21 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:137276 
Mon Jan 30 19:23:36 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 19:27:13 BOT 2012: Check Session > msisdn: 76067007 > Usuario Valido 
Mon Jan 30 19:32:20 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.01152 seg.
Mon Jan 30 19:35:05 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:103554 
Mon Jan 30 19:35:20 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 19:35:35 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.346017 seg.
Mon Jan 30 19:37:48 BOT 2012: Ajax-> Mostrar  Imagen Portada> tono:144185 
Mon Jan 30 19:38:57 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 19:39:06 BOT 2012: Check Session > msisdn: 78717377 > Usuario Valido 
Mon Jan 30 19:39:30 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 19:40:42 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.002778 seg.
Mon Jan 30 19:41:30 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 19:41:33 BOT 2012: Consulta de precio de reason:10 - msisdn: tono:142527 Async responde:350
 
Mon Jan 30 19:44:40 BOT 2012: APLICAR TEMPLATE COMPRA: tono:105066
Mon Jan 30 19:45:34 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 19:47:28 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.004931 seg.
Mon Jan 30 19:47:40 BOT 2012: WEB REPROD BUSQ > Facebook link: http%3A%2F%2Fbacktones.tigo.com.bo%2Fv3%2Findex.php%3Fseccion%3Dplaylist%26genero%3D153%26f%3D1%26t%3D123123
Mon Jan 30 19:48:04 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 19:49:40 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.0023850000000001 seg.
Mon Jan 30 19:52:29 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.746967 seg.
Mon Jan 30 19:52:29 BOT 2012: Ajax-> Mostrar Comentarios> tono:103687 
Mon Jan 30 19:53:53 BOT 2012: Session Start>  Chequeo de sesion
Mon Jan 30 19:57:05 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:105001 
Mon Jan 30 20:01:42 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:102823 
Mon Jan 30 20:06:28 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 20:09:16 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 20:12:23 BOT 2012: WEB_REPRODUCIR_BUSQUEDA > Se recibieron:1 tonos
Mon Jan 30 20:12:32 BOT 2012: Ajax-> Mostrar Ranking > tono:125517 
Mon Jan 30 20:15:29 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:139303 
Mon Jan 30 20:15:59 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:136044 
Mon Jan 30 20:16:50 BOT 2012: Mostrar Album: >Artista:  <a href='index.php?seccion=playlist&autor=1107'>Version Solumovil</a>
Mon Jan 30 20:17:02 BOT 2012: WEB REPROD BUSQ > Facebook link: http%3A%2F%2Fbacktones.tigo.com.bo%2Fv3%2Findex.php%3Fseccion%3Dplaylist%26genero%3D112%26f%3D1%26t%3D123123
Mon Jan 30 20:19:48 BOT 2012: Asignar backtone escuchado > Asi termino:335,104171,114601,144110,144109,144106,144149,144153,135057,122287,
Mon Jan 30 20:20:06 BOT 2012: Mostrar Album: >albumes/BackTonesGoMedia 1.jpg
Mon Jan 30 20:21:24 BOT 2012: Ajax->Mostrar Imagen Portada:  
Mon Jan 30 20:28:07 BOT 2012: Ajax-> Mostrar  Imagen Portada> Album:Artista:  <a href='index.php?seccion=playlist&autor=141'>Aventura</a>
Mon Jan 30 20:31:25 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 20:33:41 BOT 2012: Asignar backtone escuchado > Asi termino:103957,103947,103210,104522,140792,140790,139298,140795,139349,140793,135156,122655,103584,109624,103565,103940,103939,
Mon Jan 30 20:34:53 BOT 2012: Ajax->Mostrar Imagen Portada:  
Mon Jan 30 20:35:32 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 20:35:38 BOT 2012: Mostrar Genero: >G&eacute;nero:  <a href='index.php?seccion=playlist&genero=159'>Sonidos</a>
Mon Jan 30 20:41:36 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.388988 seg.
Mon Jan 30 20:41:42 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.012666 seg.
Mon Jan 30 20:43:51 BOT 2012: Ajax-> Mostrar Ranking > tono:103776 
Mon Jan 30 20:46:43 BOT 2012: Busqueda Inteligente: Chapa C
Mon Jan 30 20:50:01 BOT 2012: Ajax-> Mostrar Ranking > tono:104411 
Mon Jan 30 20:51:26 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 20:52:02 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 20:52:20 BOT 2012: Ajax->Eliminando backtone:  > msisdn:75781778 >  tono :  
Mon Jan 30 20:53:14 BOT 2012: Mostrar Genero: >G&eacute;nero:  <a href='index.php?seccion=playlist&genero=132'>Pop</a>
Mon Jan 30 21:00:30 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 21:00:30 BOT 2012: Ajax-> Mostrar Ranking > tono:102823 
Mon Jan 30 21:06:01 BOT 2012: Mostrar Cantidad reproducciones: tono:103083 cantidad: 0
Mon Jan 30 21:06:46 BOT 2012: Ajax-> Mostrar Megusta> tono:105257 
Mon Jan 30 21:09:10 BOT 2012: Ajax->Mostrar Imagen Portada:  
Mon Jan 30 21:10:13 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.004989 seg.
Mon Jan 30 21:13:11 BOT 2012: Asignar backtone escuchado > Asi termino:103710,103709,104296,103708,126712,126710,103707,103706,103705,126861,118756,105083,126859,105419,104297,103704,58,103703,126993,116862,
Mon Jan 30 21:14:50 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 21:14:53 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 21:20:23 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.007018 seg.
Mon Jan 30 21:20:35 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.412177 seg.
Mon Jan 30 21:21:59 BOT 2012: Consulta de precio de reason:10 - msisdn: tono:123542 Async responde:350
 
Mon Jan 30 21:22:29 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.049514 seg.
Mon Jan 30 21:22:32 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.753502 seg.
Mon Jan 30 21:25:21 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.605726 seg.
Mon Jan 30 21:26:15 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 21:28:15 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.010286 seg.
Mon Jan 30 21:28:24 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.054662 seg.
Mon Jan 30 21:30:12 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 21:31:03 BOT 2012: Ajax-> Mostrar Comentarios> tono:137972 
Mon Jan 30 21:31:13 BOT 2012: Asignar backtone escuchado > Asi termino:103939,104553,103451,103430,
Mon Jan 30 21:31:28 BOT 2012: STATS > BUSQUEDA DE BACKTONE >Tiempo: -0.729873 seg. | registros: 34
Mon Jan 30 21:33:31 BOT 2012: Busqueda Inteligente: ella
Mon Jan 30 21:33:37 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 21:35:28 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 21:36:16 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:142132 
Mon Jan 30 21:36:43 BOT 2012: Ajax-> Mostrar Megusta> tono:104225 
Mon Jan 30 21:37:45 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 21:38:44 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.051322 seg.
Mon Jan 30 21:39:38 BOT 2012: Busqueda Inteligente: 
Mon Jan 30 21:39:47 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 21:40:05 BOT 2012: Check Session > msisdn: 75554718 > Usuario Valido 
Mon Jan 30 21:40:05 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.285971 seg.
Mon Jan 30 21:41:50 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 21:42:59 BOT 2012: Asignar backtone escuchado > Asi termino:123044,103214,103527,104343,104344,109227,105542,103853,104577,102596,102597,103174,104494,103568,104900,127897,103757,104991,120956,104447,
Mon Jan 30 21:44:23 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:104220 
Mon Jan 30 21:44:29 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.065977 seg.
Mon Jan 30 21:46:51 BOT 2012: Busqueda Inteligente: Wachiturros
